#Material,IP1,EA1,homo1,lumo1,IP2,EA2,homo2,lumo2,r_s1,r_p1,r_d1,atomicRadius1,r_val1,r_cov1,r_s2,r_p2,r_d2,atomicRadius2,r_val2,r_cov2,Z1,Z2,electronegativity1,electronegativity2,polarizability1,polarizability2,polariz_new1,polariz_new2,column1,Nunfilled1,valence1,column_up181,column2,Nunfilled2,valence2,column_up182,Odd,Occ1,Occ2,orb1,orb2,Gap
B-In,-8.1261,0.0312,-3.6067,2.4547,-5.3158,-0.0113,-2.5181,2.6968,0.8025,0.8348,1.3619,0.82,0.8348,0.84,1.1407,1.5133,0.4929,1.44,1.5133,1.42,5,49,2.04,1.78,3.03,9.65,20.53,62,3,5,3,13,3,5,13,13,1,1,1,0.16666667,0.16666667,0
B-Tl,-8.1261,0.0312,-3.6067,2.4547,-5.1215,0.0916,-2.3692,2.6329,0.8025,0.8348,1.3619,0.82,0.8348,0.84,1.0974,1.5446,0.5904,1.48,1.5446,1.45,5,81,2.04,2.04,3.03,7.55,20.53,51.6,3,5,3,13,3,5,27,13,1,1,1,0.16666667,0.16666667,0
C-Ba,-10.7409,-0.7107,-5.2854,3.7464,-5.3475,1.0568,-3.2293,-1.9206,0.6418,0.6367,1.1355,0.77,0.6367,0.76,2.1967,2.3694,1.2663,1.98,2.1967,2.15,6,56,2.55,0.89,1.67,39.7,11.26,272.7,4,4,4,14,2,0,2,2,1,2,2,0.33333333,1,0
C-Sr,-10.7409,-0.7107,-5.2854,3.7464,-5.8607,0.9177,-3.5253,-1.1102,0.6418,0.6367,1.1355,0.77,0.6367,0.76,1.9583,2.2671,1.0556,1.92,1.9583,1.95,6,38,2.55,0.95,1.67,25.55,11.26,197.2,4,4,4,14,2,0,2,2,1,2,2,0.33333333,1,0
K-Rb,-4.3142,-0.4514,-2.3189,-0.404,-4.1437,-0.4859,-2.2313,-0.1321,2.2049,0.9378,0.9378,1.96,2.2049,2.03,2.3142,2.517,1.9965,2.11,2.3142,2.2,19,37,0.82,0.82,43.23,47.27,290.6,318.8,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0
Na-P,-5.1426,-0.6355,-0.2186,0.9747,-9.6945,-1.5964,-5.5066,4.1941,1.7586,2.2172,8.6288,1.54,1.7586,1.66,0.8336,0.9712,1.4172,1.06,0.9712,1.07,11,15,0.93,2.19,24.11,3.63,162.7,24.93,1,1,1,1,5,3,5,15,1,1,3,0.5,0.5,0
O-Ba,-16.306,-2.8171,-9.0305,4.2084,-5.3475,1.0568,-3.2293,-1.9206,0.4608,0.4333,1.075,0.73,0.4333,0.66,2.1967,2.3694,1.2663,1.98,2.1967,2.15,8,56,3.44,0.89,0.802,39.7,5.24,272.7,6,2,6,16,2,0,2,2,1,4,2,0.66666667,1,0
P-Rb,-9.6945,-1.5964,-5.5066,4.1941,-4.1437,-0.4859,-2.2313,-0.1321,0.8336,0.9712,1.4172,1.06,0.9712,1.07,2.3142,2.517,1.9965,2.11,2.3142,2.2,15,37,2.19,0.82,3.63,47.27,24.93,318.8,5,3,5,15,1,1,1,1,1,3,1,0.5,0.5,0
K-K,-4.3142,-0.4514,-2.3189,-0.404,-4.3142,-0.4514,-2.3189,-0.404,2.2049,0.9378,0.9378,1.96,2.2049,2.03,2.2049,0.9378,0.9378,1.96,2.2049,2.03,19,19,0.82,0.82,43.23,43.23,290.6,290.6,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0
N-K,-13.5656,-1.6769,-7.0898,4.1526,-4.3142,-0.4514,-2.3189,-0.404,0.5361,0.5154,1.214,0.75,0.5154,0.71,2.2049,0.9378,0.9378,1.96,2.2049,2.03,7,19,3.04,0.82,1.1,43.23,7.6,290.6,5,3,5,15,1,1,1,1,1,3,1,0.5,0.5,0
