#Material,IP1,EA1,homo1,lumo1,IP2,EA2,homo2,lumo2,r_s1,r_p1,r_d1,atomicRadius1,r_val1,r_cov1,r_s2,r_p2,r_d2,atomicRadius2,r_val2,r_cov2,Z1,Z2,electronegativity1,electronegativity2,polarizability1,polarizability2,polariz_new1,polariz_new2,column1,Nunfilled1,valence1,column_up181,column2,Nunfilled2,valence2,column_up182,Odd,Occ1,Occ2,orb1,orb2,Gap
K-Te,-4.3142,-0.4514,-2.3189,-0.404,-9.696,-2.4472,-5.9517,3.9881,2.2049,0.9378,0.9378,1.96,2.2049,2.03,0.9497,1.1492,0.4293,1.35,1.1492,1.38,19,52,0.82,2.1,43.23,5.5,290.6,37,1,1,1,1,6,2,16,16,-1,1,4,0.5,0.66666667,0
Mg-K,-7.9325,1.5388,-4.7054,-1.0945,-4.3142,-0.4514,-2.3189,-0.404,1.3518,1.6131,1.9324,1.3,1.3518,1.41,2.2049,0.9378,0.9378,1.96,2.2049,2.03,12,19,1.31,0.82,10.767,43.23,70.89,290.6,2,0,2,2,1,1,1,1,-1,2,1,1,0.5,0
N-Ba,-13.5656,-1.6769,-7.0898,4.1526,-5.3475,1.0568,-3.2293,-1.9206,0.5361,0.5154,1.214,0.75,0.5154,0.71,2.1967,2.3694,1.2663,1.98,2.1967,2.15,7,56,3.04,0.89,1.1,39.7,7.6,272.7,5,3,5,15,2,0,2,2,-1,3,2,0.5,1,0
N-Se,-13.5656,-1.6769,-7.0898,4.1526,-10.7939,-2.5344,-6.5105,4.7429,0.5361,0.5154,1.214,0.75,0.5154,0.71,0.7997,0.9578,0.2397,1.16,0.9578,1.2,7,34,3.04,2.55,1.1,3.77,7.6,26.24,5,3,5,15,6,2,16,16,-1,3,4,0.5,0.66666667,0
N-Si,-13.5656,-1.6769,-7.0898,4.1526,-7.6857,-0.8063,-4.0809,3.7444,0.5361,0.5154,1.214,0.75,0.5154,0.71,0.9466,1.1405,1.1619,1.11,1.1405,1.11,7,14,3.04,1.9,1.1,5.53,7.6,37.31,5,3,5,15,4,4,4,14,-1,3,2,0.5,0.33333333,0
O-Al,-16.306,-2.8171,-9.0305,4.2084,-5.7176,0.0364,-2.712,3.1169,0.4608,0.4333,1.075,0.73,0.4333,0.66,1.1043,1.3965,1.7101,1.18,1.3965,1.21,8,13,3.44,1.61,0.802,6.8,5.24,55.4,6,2,6,16,3,5,3,13,-1,4,1,0.66666667,0.16666667,0
O-Bi,-16.306,-2.8171,-9.0305,4.2084,-7.8723,-1.5162,-4.5686,2.1526,0.4608,0.4333,1.075,0.73,0.4333,0.66,0.9899,1.3017,0.5469,1.46,1.3017,1.48,8,83,3.44,2.02,0.802,7.4,5.24,50,6,2,6,16,5,3,29,15,-1,4,3,0.66666667,0.5,0
O-Cs,-16.306,-2.8171,-9.0305,4.2084,-3.8463,-0.5091,-2.0859,-0.2279,0.4608,0.4333,1.075,0.73,0.4333,0.66,2.5357,2.7555,1.8065,2.25,2.5357,2.44,8,55,3.44,0.79,0.802,59.42,5.24,399.9,6,2,6,16,1,1,1,1,-1,4,1,0.66666667,0.5,0
O-Ga,-16.306,-2.8171,-9.0305,4.2084,-5.6321,0.1264,-2.5791,3.273,0.4608,0.4333,1.075,0.73,0.4333,0.66,1.0027,1.344,0.2823,1.26,1.344,1.22,8,31,3.44,1.81,0.802,8.12,5.24,51.4,6,2,6,16,3,5,13,13,-1,4,1,0.66666667,0.16666667,0
Si-K,-7.6857,-0.8063,-4.0809,3.7444,-4.3142,-0.4514,-2.3189,-0.404,0.9466,1.1405,1.1619,1.11,1.1405,1.11,2.2049,0.9378,0.9378,1.96,2.2049,2.03,14,19,1.9,0.82,5.53,43.23,37.31,290.6,4,4,4,14,1,1,1,1,-1,2,1,0.33333333,0.5,0
